kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test_mpipdom_scoreboard_modified.1.sm_30.ptx 63 : 8 80 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 58 : 24 144 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 57 : 24 168 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 56 : 24 4344 0 0 0 1 1 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 55 : 24 240 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 69 : 32 224 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 32 : 32 224 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 68 : 32 224 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 31 : 32 224 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 30 : 32 192 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 29 : 32 8800 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 64 : 8 1448 0 0 0 1 1 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 27 : 32 8832 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 61 : 8 56 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 65 : 8 80 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 28 : 32 8832 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 62 : 8 56 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 70 : 32 224 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 33 : 32 320 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 71 : 32 320 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 34 : 32 5792 0 0 0 1 1 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 72 : 32 128 0 0 0 1 1 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 35 : 32 224 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 73 : 32 192 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 36 : 32 224 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 53 : 24 168 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 37 : 32 144 0 0 0 0 0 0 1 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 54 : 24 168 0 0 0 0 0 0 0 
test_mpipdom_scoreboard_modified.1.sm_30.ptx 38 : 8 48 0 0 0 0 0 0 0 
